SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
50,3,6,47,21,Tennessee,Cheatham County,41065,41128,41547,41830,63,419,283,105,446,463,122,514,536,-17,-68,-73,0,13,30,75,474,331,75,487,361,5,0,-5,348,348,329,340,10.789235,11.1061804,12.4342304,12.8572628,-1.6449955,-1.7510824,0.31448443,0.71962292,11.466586,7.93983952,11.7810705,8.65946244
50,3,6,47,23,Tennessee,Chester County,17348,17377,17479,17609,29,102,130,34,171,175,43,238,254,-9,-67,-79,0,5,15,35,161,195,35,166,210,3,3,-1,1196,1195,1167,1219,9.81179711,9.9749202,13.6561854,14.4778842,-3.8443883,-4.502964,0.28689465,0.85499316,9.2380078,11.1149111,9.52490246,11.9699042
50,3,6,47,25,Tennessee,Claiborne County,32038,32066,32146,32431,28,80,285,65,300,310,110,554,571,-45,-254,-261,0,13,27,72,315,494,72,328,521,1,6,25,1362,1362,1243,1306,9.34404784,9.60094151,17.2553417,17.6843148,-7.9112938,-8.0833733,0.40490874,0.83621103,9.81125023,15.2995649,10.216159,16.1357759
50,3,6,47,27,Tennessee,Clay County,7580,7588,7572,7620,8,-16,48,16,70,70,29,167,165,-13,-97,-95,0,3,6,23,81,136,23,84,142,-2,-3,1,70,70,70,68,9.2348285,9.21537651,22.0316623,21.7219589,-12.796834,-12.506582,0.39577836,0.78988942,10.6860158,17.9041601,11.0817942,18.6940495
50,3,6,47,29,Tennessee,Cocke County,35998,36039,36370,36879,41,331,509,82,357,375,149,690,736,-67,-333,-361,0,1,3,113,677,837,113,678,840,-5,-14,30,317,317,225,250,9.86065268,10.2390476,19.0584043,20.0958375,-9.1977517,-9.8567899,0.02762088,0.08191238,18.699333,22.8535543,18.7269538,22.9354667
50,3,6,47,31,Tennessee,Coffee County,57882,58134,58933,59728,252,799,795,180,701,720,174,880,875,6,-179,-155,1,33,86,257,954,842,258,987,928,-12,-9,22,737,737,630,782,11.9760479,12.135411,15.0341258,14.7478953,-3.0580779,-2.6124843,0.56377972,1.44950742,16.2983591,14.1916889,16.8621388,15.6411963
50,3,6,47,33,Tennessee,Crockett County,13909,13903,13993,13888,-6,90,-105,43,169,172,53,236,240,-10,-67,-68,0,3,13,1,153,-44,1,156,-31,3,1,-6,209,208,207,203,12.1164325,12.3381514,16.9199885,17.2160253,-4.8035561,-4.8778738,0.2150846,0.9325347,10.9693146,-3.1562713,11.1843992,-2.2237366
50,3,6,47,35,Tennessee,Cumberland County,61152,61377,62431,63522,225,1054,1091,132,492,511,218,1183,1210,-86,-691,-699,0,-6,-19,348,1829,1728,348,1823,1709,-37,-78,81,603,603,560,579,7.94779013,8.11413781,19.1102352,19.2135162,-11.162445,-11.099378,-0.0969243,-0.3016998,29.5457483,27.4388065,29.448824,27.1371067
50,3,6,47,37,Tennessee,Davidson County,715875,716058,703372,708144,183,-12686,4772,2367,9719,10054,1552,6713,6762,815,3006,3292,106,1050,2717,-882,-16314,-1151,-776,-15264,1566,144,-428,-86,24848,24843,22589,23569,13.6942294,14.2456763,9.45872639,9.58118789,4.23550298,4.66448839,1.47946711,3.84976153,-22.986692,-1.6308706,-21.507225,2.21889089
50,3,6,47,39,Tennessee,Decatur County,11442,11437,11413,11564,-5,-24,151,26,106,107,51,238,243,-25,-132,-136,0,0,0,22,108,276,22,108,276,-2,0,11,185,185,185,193,9.27789934,9.31366149,20.8315098,21.1515864,-11.553611,-11.837925,0,0,9.45295405,24.024024,9.45295405,24.024024
